frame_num,tracker_id,xmin,ymin,xmax,ymax
3,1,1593,150,1749,530
3,2,1356,218,1578,565
3,3,1043,135,1199,539
4,1,1594,151,1749,529
4,2,1355,217,1578,565
4,3,1036,140,1190,537
5,1,1594,151,1749,528
5,2,1356,216,1579,566
5,3,1032,138,1188,537
6,1,1594,151,1749,528
6,2,1356,216,1579,566
6,3,1044,127,1201,532
6,5,1072,3,1191,212
7,1,1594,151,1749,529
7,2,1356,217,1579,566
7,3,1050,129,1208,538
7,5,1073,3,1191,210
8,1,1594,150,1749,530
8,2,1356,217,1579,566
8,3,1051,124,1208,533
8,5,1074,2,1192,210
9,1,1594,150,1749,530
9,2,1356,217,1579,566
9,3,1050,122,1206,531
9,5,1072,2,1192,213
9,6,807,198,1008,526
10,1,1595,150,1750,529
10,2,1356,217,1579,566
10,3,1042,137,1194,529
10,5,1070,2,1190,213
10,6,806,197,1011,532
11,1,1595,150,1751,529
11,2,1356,218,1579,566
11,3,1038,141,1190,531
11,5,1070,2,1189,211
11,6,802,200,1008,536
12,1,1596,150,1751,529
12,2,1356,217,1580,566
12,3,1043,134,1200,538
12,5,1071,2,1191,211
12,6,805,204,1008,534
13,1,1597,151,1751,528
13,2,1356,218,1579,566
13,3,1047,134,1205,539
13,5,1072,2,1193,213
13,6,811,205,1013,533
14,1,1597,151,1751,528
14,2,1356,218,1579,566
14,3,1054,134,1210,540
14,5,1073,2,1195,214
14,6,813,205,1015,530
15,1,1597,151,1751,528
15,2,1356,218,1579,566
15,3,1054,137,1209,539
15,5,1073,2,1194,213
15,6,806,206,1004,527
16,1,1597,150,1751,529
16,2,1357,218,1579,566
16,3,1058,143,1210,538
16,5,1072,2,1193,211
16,6,801,207,1002,534
17,1,1597,150,1752,529
17,2,1356,217,1580,566
17,3,1057,145,1209,536
17,5,1071,2,1192,210
17,6,797,214,998,541
18,1,1598,149,1753,529
18,2,1355,217,1579,566
18,3,1063,147,1215,535
18,5,1070,2,1192,211
18,6,791,212,1005,561
19,1,1599,151,1752,527
19,2,1355,217,1579,567
19,3,1062,146,1217,533
19,5,1071,2,1191,208
19,6,765,214,984,578
20,1,1600,151,1753,527
20,2,1355,216,1579,567
20,3,1074,148,1231,533
20,5,1073,3,1194,210
20,6,782,216,1002,576
21,1,1599,152,1753,528
21,2,1355,217,1578,567
21,3,1066,141,1232,538
21,5,1074,2,1196,209
21,6,783,210,1010,580
22,1,1602,156,1755,526
22,2,1355,217,1577,567
22,3,1065,149,1234,540
22,5,1065,3,1207,248
22,6,760,219,978,585
23,1,1604,157,1758,526
23,2,1356,217,1577,566
23,3,1061,154,1234,541
23,5,1064,2,1212,260
23,6,751,227,959,586
24,1,1606,158,1761,526
24,2,1356,217,1576,566
24,3,1061,146,1243,544
24,5,1064,3,1213,267
24,6,751,235,949,584
25,1,1612,166,1765,525
25,2,1356,217,1577,566
25,3,1066,144,1251,546
25,5,1065,1,1215,274
25,6,743,243,934,591
26,1,1615,172,1769,525
26,2,1357,218,1577,566
26,3,1069,144,1255,547
26,5,1066,0,1215,276
26,6,735,244,922,597
27,1,1617,179,1771,525
27,2,1357,219,1577,565
27,3,1076,142,1261,546
27,5,1066,0,1217,282
27,6,728,245,911,603
28,1,1616,182,1774,528
28,2,1355,222,1574,564
28,3,1089,145,1271,545
28,5,1070,0,1219,282
28,6,730,247,904,599
29,1,1615,184,1777,531
29,2,1353,223,1573,563
29,3,1094,148,1276,552
29,5,1073,0,1220,281
29,6,728,244,901,606
30,1,1612,187,1778,535
30,2,1350,224,1570,562
30,3,1098,146,1284,563
30,5,1070,0,1218,286
30,6,726,242,899,612
31,1,1616,194,1782,534
31,2,1348,220,1573,565
31,3,1102,143,1293,581
31,5,1053,1,1227,345
31,6,722,243,890,612
32,1,1622,197,1790,536
32,2,1348,219,1576,567
32,3,1108,143,1300,591
32,5,1048,2,1232,376
32,6,718,247,882,612
33,1,1626,196,1798,540
33,2,1341,227,1562,559
33,3,1108,147,1303,609
33,5,1047,5,1232,390
33,6,713,253,874,613
34,1,1631,199,1802,539
34,2,1341,219,1569,564
34,3,1111,152,1305,622
34,5,1049,7,1230,395
34,6,711,259,869,614
35,1,1635,204,1805,537
35,2,1339,217,1571,566
35,3,1114,155,1307,630
35,5,1049,12,1227,406
35,6,709,263,864,615
36,1,1634,201,1807,539
36,2,1339,216,1573,567
36,3,1120,164,1308,636
36,5,1048,14,1222,408
36,6,707,268,862,618
37,1,1634,201,1809,541
37,2,1339,216,1573,568
37,3,1125,169,1310,641
37,5,1047,10,1217,404
37,6,710,277,861,616
38,1,1632,199,1812,546
